run_id,platform,label,N,frames,duration_ms,fps_mean,fps_median,fps_p1_low,fps_p5_low,frame_ms_mean,frame_ms_median,frame_ms_stddev,frame_ms_p95,frame_ms_p99,frame_ms_max,jank_60_share,jank_30_share,update_ms_median,update_ms_p99,render_ms_median,render_ms_p99,other_ms_median,gpu_ms_median,gpu_ms_p99,gpu_samples,heap_mb_start,heap_mb_peak,heap_mb_end
amd-ryzen-5 · chrome|s5|005_r3f-state_i1,amd-ryzen-5 · chrome,r3f-state,100,1434.0,3000.795,477.8733635583722,492.6108376011435,314.6774556327698,349.0315603314644,2.0926046025117073,2.0299999993294477,0.24603363967340733,2.625,2.9733499999716884,3.594999998807907,0.0,0.0,0.08499999903142452,0.17500000074505806,0.49499999918043613,0.6949999996833504,1.4450000002980232,0.05264,0.05872,1433.0,13.6322,26.866,22.6665
amd-ryzen-5 · chrome|s5|005_r3f-state_i1,amd-ryzen-5 · chrome,r3f-state,141,1195.0,3002.25,398.0348072279124,405.6795132091079,286.7570385723877,314.5492349424139,2.5123430962343094,2.4649999998509884,0.2258466099905778,2.956499999761581,3.246800000891088,4.014999998733401,0.0,0.0,0.0949999988079071,0.1699999999254942,0.625,0.724999999627471,1.7299999985843897,0.06512,0.06785119999999999,1194.0,22.9602,35.0258,35.0258
amd-ryzen-5 · chrome|s5|005_r3f-state_i1,amd-ryzen-5 · chrome,r3f-state,200,951.0,3001.0,316.8943685438187,325.2032521113155,225.81859237380033,254.12273585766937,3.155625657202944,3.074999999254942,0.2661757487363712,3.6299999998882413,4.250000000931323,4.75,0.0,0.0,0.12000000104308128,0.19749999884516,0.7899999991059303,0.9849999994039536,2.1549999993294477,0.09264,0.1041632,950.0,43.4506,51.4497,21.824
amd-ryzen-5 · chrome|s5|005_r3f-state_i1,amd-ryzen-5 · chrome,r3f-state,283,709.0,3002.42,236.14284477188988,243.0133657219155,182.33915081769516,198.1599433828733,4.234724964738964,4.115000000223517,0.29379282682736396,4.763000000268221,5.297600000649689,5.695000000298023,0.0,0.0,0.15000000037252903,0.22000000067055225,1.075000001117587,1.3288000000268214,2.875,0.15056,0.19967199999999988,708.0,48.2873,57.9185,54.67
amd-ryzen-5 · chrome|s5|005_r3f-state_i1,amd-ryzen-5 · chrome,r3f-state,400,517.0,3005.09,172.04143636297937,175.2848378592358,101.25556905461755,136.54486864116924,5.812553191489074,5.705000000074506,0.6427281512639137,6.426000000536442,7.0514000011980515,18.805000001564622,0.0019342359767891683,0.0,0.2350000012665987,0.3342000007629393,1.5700000002980232,1.8100000005215406,3.8850000016391277,0.26504,0.27069600000000005,516.0,62.8698,65.0104,46.2106
amd-ryzen-5 · chrome|s5|005_r3f-state_i1,amd-ryzen-5 · chrome,r3f-state,566,347.0,3003.28,115.54034255875652,119.54572623709258,80.65600215018047,89.32089846263064,8.654985590781534,8.365000000223517,0.7379461517843069,10.371499999798834,11.690399999395012,12.830000000074506,0.0,0.0,0.3799999989569187,1.535400000214577,2.405000001192093,3.361200000308455,5.589999999850988,0.35504,0.362256,346.0,57.9568,57.9568,51.7249
amd-ryzen-5 · chrome|s5|005_r3f-state_i1,amd-ryzen-5 · chrome,r3f-state,800,263.0,3003.92,87.55226504034945,90.45680687715588,64.90345610621313,73.2538810454908,11.421749049429375,11.054999999701977,0.782279760613893,13.032999998517335,13.645899999886751,15.419999999925494,0.0,0.0,0.47000000067055225,0.6307000002264976,3.224999999627471,3.691899999789894,7.349999999627471,0.54544,0.7258303999999998,262.0,66.3669,76.3253,76.3253
amd-ryzen-5 · chrome|s5|005_r3f-state_i1,amd-ryzen-5 · chrome,r3f-state,1131,186.0,3004.685,61.90332763670169,64.02048655523977,47.93863854403517,51.68107037197072,16.154220430100317,15.620000000111759,1.1113199164764158,18.80375000135973,19.458999999612576,20.859999999403954,0.21505376344086022,0.0,0.6449999995529652,0.9322499997913838,4.679999999701977,6.382750000432137,10.27250000089407,2.20312,3.0850927999999973,185.0,78.4306,94.4996,66.8259
amd-ryzen-5 · chrome|s5|005_r3f-state_i1,amd-ryzen-5 · chrome,r3f-state,1600,124.0,3001.215,41.316600110290715,42.18964244171936,35.2050695308434,36.30093474903706,24.203346774192347,23.702500000596046,1.2323987979976805,27.26524999886751,27.45655000075698,28.404999999329448,1.0,0.0,1.0099999997764826,4.340799999833107,8.042500000447035,9.435599999725817,14.62250000052154,3.90368,5.1174360000000005,123.0,96.7484,108.2164,97.4854
amd-ryzen-5 · chrome|s5|005_r3f-state_i1,amd-ryzen-5 · chrome,r3f-state,2263,92.0,3010.07,30.56407326075171,31.570639305631587,25.796465883777223,26.423569824140205,32.71815217391628,31.674999999813735,2.0151366377645066,36.433000000473115,38.49654999896884,38.76500000059605,1.0,0.2391304347826087,1.3849999997764826,1.850400000549853,9.612500000745058,10.981550000067802,20.734999999403954,6.36592,7.22775999999999,91.0,139.6514,145.8065,145.8065
